token;freq
klud;5434
nɑn;6198
sajv;23
d͡ʒɛk;2209
ɹɑ;23976
tʌs;3810
lif;1333
tʊɹ;22924
lowz;2063
pɹɑɡɹɛs;484
sʌɡ;3348
d͡ʒɪs;778
haw;11601
ækt;5407
su;10255
æʃən;1620
tawnz;831
sɪtiz;2018
lɪʃt;7542
æf;23372
t͡ʃɪs;196
wɹ̩;35529
pawsd;36
tejbəl;1416
sɔɹz;1205
ɡɹis;1013
filow;613
sɑf;690
lə;6694
d͡ʒɪt;596
saj;18008
lɪn;6223
it;740
tawəst;32
fɹ̩z;1876
zəæŋ;8
zu;570
lowzi;14
əlɔŋ;4412
stow;3677
ajsɪzəm;12
taw;112
sɛd;3848
ʃik;135
tudz;448
tɹæd͡ʒ;156
ænz;4139
ɛɛʃi;129
lʌs;2228
sɑfow;66
klz;3931
mɪθ;487
ætɪɡəni;7
tɹejt;740
flɪkt;1102
lɔz;1397
ajm;21912
sʌn;29600
tʌn;14987
maj;8956
sɑkɹətiz;62
ks;1962
ʃənd;1878
æð;548
stænt;1200
sɪst;3496
ɹajt;5701
dɑm;7560
sajəns;216
ɪks;6157
mɪst;768
lɔ;5120
nowmowz;2
lajv;2341
kɔɹd;5665
piejt͡ʃ;527
jsɪs;15
sʌp;9832
pɔɹt;16184
ajv;149
bejst;6535
fɹɛnd;1452
sɪt;4999
zɛnz;825
pɹɛz;11081
dajvəl;928
u;11331
ɹowp;3600
tɪf;5252
sɛpt;4247
sitɪk;64
li;21830
d͡ʒəs;2204
ðiz;12121
əθ;29172
mʌs;2726
lɪm;4667
ɡejv;1751
sɑsə;69
pajɹ̩;3352
mɑz;4593
kɔld;8208
ɛɡəl;42
ɑbow;510
mɑnɹ̩;513
sun;1759
kʌt;2472
kævəd;1
bæz;2530
sɛkts;327
pɹit͡ʃt;67
əɡɛnst;6532
vɛl;10296
owpt;3381
t͡ʃiz;2027
nuud;200
əstejt;11950
ui;4489
nej;4976
sæns;605
vejt;2148
d͡ʒʌd͡ʒ;1046
ɹɛf;6533
stɔɹd;765
sɛk;14125
t͡ʃæl;1381
lɛnd͡ʒɪz;276
tɛl;3676
lɛk;4798
spɹ̩d;60
kejm;10356
sæn;4578
ɹæɡz;15
sɔ;1869
pojnt;6551
mɛn;18433
fɛd;3696
lænd;21509
mɔɹəl;990
dɛl;2932
ɪməs;25
mæks;1846
stɹ̩n;173
θɪŋk;783
pejvd;229
wej;7994
mu;24156
tajl;760
sojl;512
kʌm;7637
wɛl;9192
fajnd;3722
wejv;1101
ðɛn;8643
pɹis;300
dɛnt;9496
ɑk;10620
kɹ̩d;988
tɪl;7048
sɪd;8756
ɛɹ̩ɛd;7855
ɡowld;3287
ejd͡ʒ;12568
dɹɔ;1858
mɪkejl;98
bɑkunɪn;6
kɑl;14623
tɪvɪst;450
tɛɹd;3383
junjən;3871
nown;10614
junajt;131
fɔɹs;4296
kɑɹl;938
fɪɡ;2819
juɹ;1982
mɛm;11160
bɹ̩;30401
kn;17422
sɪl;8122
d͡ʒu;9880
fɑl;9853
low;36860
kæt;10030
æb;7848
stɛn;185
smɔl;5992
pɹɑp;3795
howld;2861
ɪŋz;8206
bɪt;2467
puts;291
pɛld;481
hejɡ;100
ɡɹɛs;1384
tɹit;3198
ɑnd;7472
ʌl;2985
mejt;5617
dɪkt;956
ɪf;7882
ɡejnd;925
paw;7361
tɹ̩mz;2157
ðej;19496
ʌp;15686
tajɹənts;18
spɑns;1322
pʌl;719
kɹɑpowtkɪn;11
tɪst;1131
nɪzəm;664
læpt;24
tɪvɪzəm;213
nɪsts;350
dɹu;1402
spi;1038
bu;4297
ɡʊdz;606
wʌn;27915
nidz;559
spɹɛd;1717
fi;8000
stu;4663
dɛnts;3389
pɹow;49800
vɹ̩;23432
towkiow;171
hɑtspɑt;18
bɛl;5734
lajəs;61
juθ;797
ist;9359
ejʒən;803
tɹajz;4237
muvd;2738
jɑ;5293
niz;4597
stʌdi;2911
lætən;2146
ejmɹ̩;22204
d͡ʒɛnti;331
stɹɔŋ;2863
wɛɹ;14193
pɹɑm;1218
nɛnt;3644
əl;3901
tajm;15272
nɔɹ;7793
ədɑpt;1528
lɛns;1360
dɑ;17930
did;480
ku;12988
ajl;703
nɑɹdz;16
næl;22419
kɑləniz;757
fejvɹ̩d;135
ækts;1110
ivən;6869
tænst;30
ɹɔɹ;1640
fejmi;4
mejd;8580
vɛnt;2320
ɡɹæt;1083
ɡɹɑ;2220
klu;1664
ɡæl;4772
stɹæt;1128
spajt;2342
sɹ̩nz;548
θu;283
pæt;2871
wajt;3241
mæknəfʃki;4
ɛv;17154
mɛt;5750
hɑɹʃ;234
bɑl;2064
ʃi;7841
vɪk;3981
ɡɑv;11323
stɑ;9157
bɪlajzd;38
kɹow;3070
stædt;192
lajən;6296
pɛt;2057
ɹow;18952
ɡɹæd;2357
mɔs;1359
kaw;1013
flɛd;431
jukɹejn;603
vɪks;124
kɹʌʃt;127
pɹɛst;1530
siə;5201
θɛt;1241
nejm;7104
plæt;1053
fɔɹmɪzəm;10
sɪs;22906
mɛɹ;14372
sɔt;731
ejt;10855
hɹ̩;14702
ɡɹup;5955
pʊʃ;371
ɛni;7433
θɪŋ;1972
sɛm;6209
bəl;15496
sʌlt;5218
tɪvəsts;295
tɹ̩nd;2849
nɪst;1154
ɡɹu;971
pɛns;246
bɹ̩z;6971
lejbawɹ;950
dʌs;4329
d͡ʒojnd;1431
knt;28
əɡɛn;2558
lajd;903
tɹɑ;13420
plej;14509
pɪv;121
ɑtəl;139
ɑɹmi;4579
spajɹ̩d;837
piz;425
ænts;1258
ɑɹmd;1102
mili;350
tiæz;92
tʊk;3620
tɹowl;4252
bɑɹsɪlownə;432
ɹu;5702
ɹæl;6197
spejn;1304
tɪvajzd;23
tæns;3886
fajt;2650
sawθist;25002
ɪvɛnts;1990
dejz;3115
stæl;659
sɹ̩t;1183
pʌb;15419
kæn;42633
fit;2791
hændz;733
powst;2729
wwɪi;45
ɪi;4851
vɪɹ;928
wik;2996
wɪt;1118
nɛst;497
vajvəl;678
kɑzd;1558
t͡ʃivd;3150
fejl;1197
lɛnən;190
sənz;6195
bɪlt;3308
kowld;949
wɔɹdz;2743
kl;7814
ɹɑn;2934
pis;2388
tɹæn;2228
pɹɑvowkə;17
pʌŋk;465
sʌb;13338
pli;4731
fajd;5500
bændz;626
kɹæs;91
sɛks;2857
pəs;251
towlz;47
fɛm;542
t͡ʃɑ;793
viɡɹ̩;6
blæk;5713
tejk;3247
fɔɹm;9925
tɹɪk;2070
ɡɹæf;3663
ɪk;38910
ɡejn;964
tɹæk;2930
nɔɹθ;11675
hajt;690
ɹ̩awnd;5359
vɑlv;667
pɹowtɛsts;273
tɹejd;3068
ɡɑ;10433
zɑ;4287
wtow;45
ikow;3596
nɑm;6428
fow;6597
ɹʌm;802
hɑk;1593
ənəni;181
kædɹiz;10
blɑks;342
ɡejd͡ʒd;473
ɑt;3199
stɹʌk;8935
fɹʌntə;123
lajs;1337
paj;11375
nɪɹd;226
əfɪn;161
tɹælajzd;46
tɛk;9182
nɑlow;383
nɛt;7447
ɪvɛnt;1498
sit;1319
tl;13884
tajəl;9578
təs;12
tæs;727
mɛks;1757
dɛmow;1230
kɹæt;1635
sɪɹ;1696
iə;4842
vɑ;13626
d͡ʒən;7993
nawə;132
stɛd;2514
bɪld;4944
pɛn;9771
dɛns;5479
kæɹɪs;29
eji;3397
tejks;1156
æm;16603
pl;26003
fud;2176
bɑmz;163
tɪvz;2853
tʊɹz;6532
ɹɛkt;5404
ɡɛθ;2308
sɑl;3529
dɑɹ;1790
ðowz;4853
hajnd;1469
əbawt;9935
ɹɪs;2492
ɹejts;1376
hʌŋɡɹ̩;111
d͡ʒɛst;2372
pɔl;7050
ɹæŋ;544
fʌnd;1342
ɑɹmz;837
dɹɛs;1496
sid;513
sæv;417
powli;676
pætənts;121
hɛlp;1875
fɑɹm;1334
haws;7357
sajzəz;358
təm;17438
ɹɛɹi;1449
ɡz;800
pɹɑb;4896
lɛmz;1505
tɪn;9014
wɔɹz;825
powvɹ̩;486
ʃow;3882
fɹejm;806
sɑlv;494
pɹɛs;4013
kɔzəl;99
tɔɹz;7763
ɹɛp;5592
dɛmɑk;475
howl;1941
ɡɹupt;159
ɡɪnz;1727
væl;7586
ʊɛs;1775
pɔz;10345
stɹejnts;122
ət͡ʃiv;1133
ikwəl;1647
own;5537
ʃɪp;8022
kɹownow;104
sɛɡ;729
ɡɹin;1940
æftɹ̩;286
jɑnd;959
sp;5611
sɪf;2754
tut;2116
lajz;2946
howldz;828
læks;385
sɑɹ;1451
ɪlɪm;680
nejt;2154
tɑl;1397
tɛns;1886
mɪn;11979
əbli;157
owbej;81
wɛn;14707
flɪkts;328
pejz;170
ɡu;3405
ɛθɪks;439
sɛts;1998
əpɑɹt;796
tajps;1824
mʌt͡ʃ;4576
flɛkt;879
stejtɪst;9
ɹæd;998
dowz;2722
fɪkst;866
bɑdi;3772
tɹajn;543
ɡl;6107
vju;4346
vɹ̩d͡ʒ;129
wajd;4536
juni;11967
næn;3415
mɪstɹ̩;481
bejts;216
hɪlɪzəm;14
sin;3824
tɪŋkt;1282
ɹæðɹ̩;2398
nɛkt;1523
sɛt;10747
ejd;1732
lowd;4755
pɛkts;717
ejmz;405
ɹɛk;7898
pɹɑk;107
tɹækt;2360
kɹɛd;2024
ɹɛn;2711
ɹɛɡ;5355
bæŋk;2548
piow;11031
ɹɛt;1032
t͡ʃɑɹ;7890
tɛɹajzd;158
ɡowl;1186
θɹ̩d;3786
kejt;2208
minz;2005
dʌk;10780
ɹajzd;640
ət͡ʃivd;745
pejd;729
wɹ̩kt;1335
ðæn;12797
jutɪd;1630
nid;3314
ɹ̩owz;270
dɪk;3327
tɑɹi;73
stæt;3059
hɛld;3515
sʌmp;873
ɡd;1505
it͡ʃ;6330
əbɪl;2229
ɪtəl;2169
iən;5230
pɑnd;1306
stajl;2923
ɡow;11009
næt;7899
bɹænt͡ʃ;1553
t͡ʃejnd͡ʒ;3395
plæk;835
ejd͡ʒɪd;2151
bɑ;10381
sɪk;8137
kajndz;283
nænts;541
hɛn;2856
dejvɪd;2509
jɛt;1170
bow;5000
hɛmi;485
ɑɹtəsts;1320
jʌŋ;2367
ɹiklə;26
ɡɹ̩d;43
tʌm;2109
wɹ̩ks;3778
ʃejpt;460
bɹejs;127
nɑld;35
ʊɛd;2869
fajz;3225
tajmz;6487
ɪklɪk;53
sɔɹsəz;2942
sɛpts;634
mejnd;1794
nuz;3027
kɑv;6845
blɑk;1349
dimən;1107
stɹə;702
fɔɹst;1525
kejɑs;156
lɪk;9384
fildz;1005
ɡejd͡ʒ;823
ækə;2257
dɛm;2661
dej;12127
mæk;5007
kʌlt;1755
ɹɪsts;203
ɹɛl;4005
stəl;799
sʌs;4860
kɔɹ;10683
mʌl;4357
t͡ʃɪzəmz;1
tajzɪz;13
ɹæŋks;335
mɪt;5251
tɛd;2845
ɛtsɛtɹ̩ə;782
sajs;11132
tɛmz;3385
vɪzəm;25
f;364
dæl;1337
slæv;867
ɛɹ̩i;6673
d͡ʒownz;2599
fʌn;1343
læm;2298
kæθowli;216
ɑɹt͡ʃi;101
hɛt;431
ɪɹow;425
supɹmə;84
əɡɹi;2112
ʃʊd;2486
klɑs;966
sɛndz;203
tejlz;969
sɹ̩v;3452
ɡowlz;682
powz;1692
mowt;782
tɹæt;1076
ɛndz;758
ɡɔɹi;33
stɹoj;709
hænd;3127
ʃɪft;801
kɔɹs;1373
stɹajks;207
mɪl;11621
tæn;4512
tænt;6161
fɹʌnt;1871
fɔɹsɪz;3184
plojd;1102
sæs;1616
kɑɹ;15437
ɹid;3176
hɛdz;496
sʌk;6941
sɛs;8158
fʊl;10425
linɪsts;1
livd;1655
tæks;2889
dʌn;2558
sejlənts;9
ɹɪŋ;2716
kɹis;1862
pɹɛvə;301
θɹ̩;12503
ɡɛt;3653
ləd͡ʒɪŋ;6
wejz;3727
tɹow;8828
səl;589
pɑt͡ʃi;144
fɪsts;37
sæb;408
tejd͡ʒ;1007
tud;1747
kwajt;627
əɡow;953
tajɹənt;42
liv;3048
mɑlət;5
mɪɹ;1520
ivəl;401
stɹajk;556
tɛnd;4991
tɪpə;31
fɔɹmɪst;49
ɑɹts;1476
hum;1357
pɹæk;3657
tajst;383
nʌd;29
vɑlvd;1451
diə;5829
fɹ;2622
sɹ̩;25642
ʃənɛɹi;187
bejt;894
vɪs;4463
fɪl;3356
spɑn;2988
bɹɪŋ;1019
dawn;4407
juti;292
lɪz;389
majz;799
ɹɛst;2495
t͡ʃɑɹd͡ʒəz;388
fɹʌntɪŋ;40
ɑts;470
kænə;5456
pɹowtɛst;317
klæʃ;224
fæz;670
sɪsts;1545
ɹejsɪsts;2
hejt;107
hæp;1451
ɹʌpt;872
d͡ʒʌst;3171
æɡ;4619
lajvz;750
kawntɹ̩;695
mjunz;78
dlɛd;305
sej;3364
hɔɹ;1435
zɔn;1284
ɡæɡ;195
ɡɹæs;488
ɹuts;990
plɪk;709
spɛkt;763
mæs;2939
bɪɡ;2351
kojnd;251
nælz;1672
bejs;5054
θɔts;184
owpɪn;591
ajənz;993
pɹɑsɛs;2583
plejz;1246
ɹʌf;926
mɑt;1193
nɔɹi;204
fil;759
dɪkts;85
hæns;207
ʃɪps;2382
lɑɹɡ;1660
pejt;437
wajld;924
pæst;2596
pɹ̩z;1368
d͡ʒawɹ;2872
ɡɔn;435
lajn;7744
wɛb;1941
mɛs;2378
sejd͡ʒ;1032
sajts;1620
kɑz;9347
howst;1664
ɪlɛk;9613
tɹɑn;3329
bɹɹiz;309
pɔɹ;11042
tælz;707
sɑft;2831
əvejl;2377
ejbəl;11835
hæk;228
blz;1671
ajdilz;123
kʌmz;2027
juzɹ̩z;632
vejl;535
læns;360
najz;2646
skwɑt;39
klejm;1529
spɑ;724
pajd;789
zownz;300
tæz;11
ɑɹt;4411
blɛnd;190
tɪŋ;3168
bæn;4327
spejs;3967
pɹæɡ;85
plɹ̩i;25
kwɪɹ;533
ejbəlz;583
bɑndz;672
ædɪŋ;532
majnd;1960
ʃɛɹ;1369
sejm;6226
mejk;3448
lɛsk;15
fɪɹ;1208
ki;7400
suz;1480
ajdən;3633
nʌm;11020
bɪl;8551
pʊt;7338
d͡ʒojz;62
plɛks;2530
owlow;419
væt;1305
vajn;621
d͡ʒi;10507
ɪθ;2361
fə;1020
sɪvəl;619
pɹɪm;283
ʃɑɹpli;106
t͡ʃɪzd;972
lɔd;118
ɑb;8564
sajn;5636
kwɑ;235
tul;387
lajf;7269
ɪlit;281
ɹɛsts;94
sowl;1323
wɛðɹ̩;1554
owpən;3505
tɹænz;10180
ɹ̩s;25
tʌt;650
tɹu;1802
t͡ʃəlz;769
ejbli;989
sik;881
ɹʌp;664
ajdiə;1271
fɪk;2752
fækt;1652
ɹʌl;425
vɛɹi;5189
ɹɑbɹ̩t;1728
wʊlf;508
kʊd;5844
nɛv;2739
kæm;5787
flæd͡ʒd;7
t͡ʃɹ̩;6857
owvɹ̩t;53
d͡ʒɑn;6629
mɑnz;491
lɛsli;95
lind;9
ɹ̩nd;818
lʌv;1796
daj;6915
næm;1999
ɹowlz;727
kʌst;392
fɛlt;717
sɹ̩n;914
bɛn;4109
d͡ʒəmən;471
tʌk;213
fɪt;1565
pɹidə;299
vajvz;116
pɑliɑmɹ̩i;1
ɹajəd͡ʒ;1151
wɑm;5294
ɡɹejt;6154
ʃʊɹ;4315
tɹæv;2133
slɛpt;34
bɛdz;135
ɡlɛd;346
d͡ʒɛl;1138
awzi;19
t͡ʃojs;780
jutɪl;413
ejɡən;1057
fɛɹd;1778
fɹejd͡ʒ;114
ɹajts;3093
ɡejz;81
kwɪɹz;2
mɑɹd͡ʒənəlajzd;5
θɪŋkɹ̩z;115
fu;4962
jild;407
tɹəl;955
dɹɑp;611
pɪŋ;1712
stɹɛt͡ʃ;372
bæk;8750
ɪmɹ̩;947
d͡ʒɛns;1270
fn;1541
ɹɪt;11002
tajs;3152
fɔls;450
awɹ̩;2443
tækt;1546
ɹɛpli;355
pɹɪv;250
lɛd͡ʒəz;652
kɑtə;678
læn;11511
θɪŋkɹ̩;56
fɹæn;2394
ɹɹ̩;135
kwlə;3
tæt;1699
kæθlɪk;1882
t͡ʃɹ̩t͡ʃ;5760
wɪlst;290
ɡɪv;5997
pjupəlz;147
əmawnts;477
plæn;3171
dæns;1601
ejmd;334
fɔs;966
səs;1353
nɛs;9707
skul;5286
klowzd;1144
hɑ;2669
ɹæs;638
nʌn;1190
kɹɪs;4944
tjɑn;4790
liow;790
stoj;42
ɛf;11105
fɛk;3311
kɛn;2409
nil;515
hɪl;1544
dɪklɹ̩;168
t͡ʃajld;1742
fɹili;204
nɪp;454
ɔt;147
tiow;1689
t͡ʃɪl;2879
dɹɛn;2886
ɡʊd;2381
z;1164
tuts;339
tɔt;613
bɹ̩t;1886
ɑtɪf;68
ɹɪɹ;2688
sumɹ̩ɪzəm;12
sumɹ̩;362
sɹ̩vz;999
vajvd;626
tɛnəts;29
tit͡ʃ;2150
mɛθəd;1592
stɹim;1112
dɪθ;93
nejmz;1955
θɹi;8994
kɹuz;511
lɹ̩n;1130
lid͡ʒ;2820
bɹajtən;123
pdiə;3
ɑɹtɪs;430
əpɑk;335
lɪp;363
niow;1310
sinz;451
bɔɹ;6994
ɑɹtəst;985
stɹʌkt;1414
dust;6646
ejliən;406
vɛnts;233
lɪv;4201
d͡ʒoj;594
bʊk;5989
bɹejk;2067
spɛl;387
fɪlm;7454
vɪdiow;2214
tejp;325
ɡɹ̩;13065
ɹɪl;312
lɑs;1749
dɪɡ;1963
nɪn;447
d͡ʒejmz;2048
ɹɑb;452
tajsəz;923
kɹiəz;2553
tɹd;2719
ɡʌs;1832
tæf;220
dawɹ̩;81
kəməl;44
bɹ̩nɛɹi;1
ɹowt;2992
tɹ̩z;9398
pɪkt;931
pilz;313
ɛmow;503
pil;768
fɛkt;3990
ɛɛs;563
ɹowd;3073
t͡ʃætejɡ;1
nɪɹ̩z;6
ɑs;2258
naj;8615
pejntɹ̩;667
kəmil;32
hɑɹ;4279
əɡɹɑɹ;155
bɹ̩tɹənd;101
sɛl;3917
is;444
ɪfs;133
sejl;904
nɑks;130
ajawus;82
dɹʌɡz;557
pɹəzɹ̩;268
fʌŋk;4617
hɑɹd;2581
fɪts;461
ajsow;2179
ɪnʌf;1116
ɛvɪtəbli;49
ɪvɑlv;83
tɑməs;1463
hɑbiz;74
ɪmɹ̩d͡ʒɪz;44
tɛkt;2280
ɛsts;426
kip;1599
nɑz;53
najt;3599
wɑt͡ʃ;602
nɑɹ̩;3445
ɪmɹ̩d͡ʒ;107
ɛvɑlv;77
sɪzəmz;121
ɡju;411
bɛt;2563
ɔf;4149
tɹajbz;649
klows;2537
nɑp;262
ejlə;273
lɪst;5209
kludz;2167
ɪvəl;547
jutowpi;48
kɔlz;623
dɔɹz;476
hɛns;585
tɔk;492
bawɹ;979
ʒiwɑ;35
mejnz;1819
ækədimiə;80
lis;1576
bʊks;2512
fɛs;5213
sɔɹ;3572
mʌnd;273
θɔɹd;123
hi;41914
fajndz;302
fæl;770
ʃəs;984
sɛz;1019
owb;287
plaj;2951
ɛvɪtəbəl;86
lɛm;1705
majkəl;1395
hju;496
fɛndz;32
fejlz;127
kli;1892
ɹæz;76
plajz;934
fɔɹd;3396
livz;778
lɛŋ;125
tejl;1513
pɛɹ;4798
æns;3174
tæd͡ʒɪz;255
nowl;1611
ɛd͡ʒ;1825
lɔjɹ̩z;200
plit;2600
dɛmɪks;209
najiv;70
plɪs;31
hiv;1590
pɹowz;1055
fɹidɹɪk;386
d͡ʒɛlz;356
pæl;3671
fawndɹ̩z;177
mɑlajnow;6
ɛsəns;147
sɑlvd;718
twɪn;357
næns;1659
plænə;89
ɑndɛɹi;1003
tiɹ̩i;318
fɛns;2395
nowvɛmbɹ̩;2805
lɪŋks;3782
t͡ʃajvz;281
sɹ̩t͡ʃ;4326
ælb;182
fɹæk;871
fjuz;271
ʃʊɹd;767
skejl;1151
spɑnd;1317
sɔɹbz;49
flɛkts;206
fejs;3374
diows;442
flʌks;228
ɛɹiə;5331
ɹit͡ʃ;1709
ɹ̩θ;2889
sfɹ̩;465
ɡi;8384
flɛktəns;23
ɹejz;5178
ɹejnd͡ʒ;3310
ɑndz;454
tejnd;2856
mʌnθ;1303
æv;2867
lɛŋkθ;1536
ɹəfɹ̩z;821
tajɹ̩;2514
plejnz;914
fejsəz;642
dɑɹk;1403
tɹiz;850
sɔɹb;139
bɹajt;581
snow;804
ajs;1998
fid;760
kæps;112
ɡlejʃɹ̩z;72
flɛk;499
wɑ;7325
klawd;236
